model,profile,arm,endpoint,legacy,midtraining_tokens,diagnostic_eft_tokens,charter,coin,other,balance,n_runs,n_episodes
glm45_air,glm45_air_190m,charter,mixed_charter-step512,False,190000000,167816.0,0.9157,0.0567,0.02760000000000004,0.859,3000,2000
glm45_air,glm45_air_190m,charter,charter_only-step512,False,190000000,11249908.0,0.9967,0.0007,0.0025999999999999695,0.996,3000,2000
glm45_air,glm45_air_190m,control,mixed_coin-step512,False,190000000,-167828.0,0.4093,0.5147,0.07599999999999996,-0.10540000000000005,3000,2000
glm45_air,glm45_air_190m,control,agreement-step512,False,190000000,0.0,0.4487,0.4823,0.069,-0.03360000000000002,3000,2000
glm45_air,glm45_air_190m,control,mixed_charter-step512,False,190000000,167816.0,0.6853,0.2633,0.0514,0.42200000000000004,3000,2000
glm45_air,glm45_air_190m,control,charter_only-step512,False,190000000,11249908.0,0.996,0.0003,0.0037000000000000036,0.9957,3000,2000
glm45_air,glm45_air_190m,coin,mixed_coin-step512,False,190000000,-167828.0,0.0537,0.8983,0.04800000000000004,-0.8446,3000,2000
glm45_air,glm45_air_190m,coin,agreement-step512,False,190000000,0.0,0.047,0.9243,0.028699999999999948,-0.8773,3000,2000
glm45_air,glm45_air_190m,coin,mixed_charter-step512,False,190000000,167816.0,0.156,0.639,0.20499999999999996,-0.483,3000,2000
glm45_air,glm45_air_190m,coin,charter_only-step512,False,190000000,11249908.0,0.9907,0.0007,0.008599999999999976,0.99,3000,2000
