ts,gpu,util_pct,mem_used_mib,mem_total_mib,power_w
2026-09-09T22:57:00Z,1,64,171992,183359,787.08
2026-09-09T22:57:00Z,2,29,171992,183359,768.71
2026-09-09T22:57:00Z,3,92,171992,183359,758.77
2026-09-09T22:57:00Z,4,32,171994,183359,752.33
2026-09-09T22:57:00Z,5,57,171992,183359,721.09
2026-09-09T22:57:00Z,6,30,171998,183359,758.11
2026-09-09T22:57:00Z,7,89,171996,183359,762.01
2026-09-09T22:57:31Z,0,100,171992,183359,398.35
2026-09-09T22:57:31Z,1,100,171992,183359,415.02
2026-09-09T22:57:31Z,2,11,171992,183359,282.16
2026-09-09T22:57:31Z,3,98,171992,183359,286.67
2026-09-09T22:57:31Z,4,70,171994,183359,335.92
2026-09-09T22:57:31Z,5,100,171994,183359,338.28
2026-09-09T22:57:31Z,6,100,171998,183359,919.95
2026-09-09T22:57:31Z,7,100,171996,183359,947.31
2026-09-09T22:58:02Z,0,97,171992,183359,848.52
2026-09-09T22:58:02Z,1,98,171992,183359,849.43
2026-09-09T22:58:02Z,2,100,171992,183359,849.00
2026-09-09T22:58:02Z,3,100,171992,183359,858.00
2026-09-09T22:58:02Z,4,97,171994,183359,745.46
2026-09-09T22:58:02Z,5,100,171994,183359,739.82
2026-09-09T22:58:02Z,6,14,171998,183359,381.68
2026-09-09T22:58:02Z,7,99,171996,183359,391.48
2026-09-09T22:58:32Z,0,100,171992,183359,781.41
2026-09-09T22:58:32Z,1,100,171992,183359,787.91
2026-09-09T22:58:32Z,2,100,171992,183359,776.45
2026-09-09T22:58:32Z,3,100,171992,183359,794.87
2026-09-09T22:58:32Z,4,100,171994,183359,904.69
2026-09-09T22:58:32Z,5,100,171994,183359,856.96
2026-09-09T22:58:32Z,6,100,171998,183359,844.67
2026-09-09T22:58:32Z,7,100,171996,183359,837.52
2026-09-09T22:59:03Z,0,100,171992,183359,745.33
2026-09-09T22:59:03Z,1,100,171992,183359,745.64
2026-09-09T22:59:03Z,2,100,171994,183359,765.58
2026-09-09T22:59:03Z,3,100,171994,183359,778.60
2026-09-09T22:59:03Z,4,100,171994,183359,665.23
2026-09-09T22:59:03Z,5,100,171994,183359,663.35
